L1,L2,L3,MF1,MF5,DIR
0.7812,0.1055,0.9196,0.8551,0.0265,D
0.5651,0.3246,0.716,0.0699,0.6896,D
-0.4716,-0.8527,0.3632,0.8595,0.386,U
-0.3288,-0.7919,-0.9066,-0.1183,-0.7387,D
0.6352,0.968,0.0709,0.0363,0.049,U
-0.7178,0.7605,0.4774,0.3758,0.2778,U
-0.3152,-0.7523,-0.4223,-0.7499,-0.7945,U
0.0413,0.7294,0.3886,0.1315,0.4015,D
0.8394,0.5573,0.4445,0.4073,0.8456,D
0.6559,0.5052,0.1373,0.7017,0.923,D
-0.2497,-0.7113,-0.2339,-0.9505,-0.2115,D
0.6597,0.8403,0.4794,0.544,0.2368,U
0.398,0.1167,0.4103,0.9814,-0.9016,D
0.5069,-0.4821,-0.535,-0.9131,-0.6509,D
-0.9733,-0.7107,-0.1216,-0.6573,-0.2485,U
-0.1887,-0.1669,-0.1244,-0.0976,-0.7897,D
0.1045,0.962,0.4327,0.3272,0.0148,U
0.0789,0.3729,0.0062,0.4901,0.7577,U
0.504,0.1368,0.6045,0.1751,0.1487,D
-0.2284,-0.5416,-0.8775,-0.123,-0.1832,U
-0.6864,-0.1398,-0.6275,-0.1882,-0.9712,D
0.853,0.6248,0.0406,0.7326,0.9852,U
0.894,0.1056,0.4974,0.8016,0.735,U
0.6509,0.2027,0.2822,0.7612,0.744,U
0.8652,0.4828,0.175,0.5881,0.7016,D
-0.1107,-0.1702,-0.2325,0.5951,0.5982,U
0.7587,0.9569,0.4886,0.4856,0.3276,U
-0.2383,0.5275,0.0102,0.203,0.8419,U
0.48,0.8532,0.6048,0.13,0.745,U
-0.5639,-0.4157,-0.8722,-0.9476,-0.254,U
-0.6556,-0.1068,-0.9897,-0.5198,-0.7748,D
0.0418,0.9517,0.8901,0.6902,0.9757,U
-0.9253,-0.7848,-0.2451,-0.5736,-0.0727,D
0.6113,0.6446,0.556,0.3041,0.5881,U
-0.0149,-0.5668,-0.7883,-0.4939,-0.3786,D
0.2305,0.3735,0.1718,0.1346,0.4641,U
-0.1664,-0.0957,0.0778,0.8287,0.0804,U
0.503,0.8568,0.3208,0.1323,0.8826,D
-0.9044,-0.8076,-0.9346,-0.4029,-0.6519,D
-0.7165,-0.8721,-0.1051,-0.8485,-0.2004,D
0.2641,-0.0328,-0.5229,-0.1865,-0.9942,D
-0.3628,-0.6861,-0.1441,-0.1112,-0.558,U
-0.7197,-0.3639,-0.876,-0.6342,-0.2311,D
-0.7132,-0.4982,-0.0123,0.9302,0.4811,U
-0.2641,-0.9606,-0.659,-0.9193,-0.0321,D
0.5571,0.1005,0.5022,0.8174,0.2069,U
-0.8059,-0.801,-0.9359,-0.7397,-0.165,D
-0.2885,-0.0611,-0.0221,-0.4468,-0.6733,D
-0.5862,-0.6776,-0.0894,-0.7437,-0.487,U
-0.2019,-0.3176,-0.3732,-0.0498,-0.8999,U
0.3128,0.9374,0.7333,0.2685,0.8127,U
0.556,0.2226,0.9781,0.6405,0.7771,U
-0.4548,-0.1482,-0.389,-0.811,-0.5207,U
0.7304,0.4624,0.1421,0.7398,0.2584,U
0.0396,0.7961,0.5369,0.0675,0.1395,U
0.038,0.4713,0.1209,0.5527,-0.6915,D
0.4808,0.2677,0.5345,0.3579,0.9699,U
0.9971,0.7859,0.176,0.748,0.4223,D
-0.2361,-0.5156,-0.3506,-0.9445,-0.2989,U
-0.9298,0.6689,0.5903,0.7067,0.3624,U
-0.2975,-0.1339,-0.9774,-0.5677,-0.4883,D
0.3752,0.6675,0.5494,0.4581,-0.6434,D
-0.7894,-0.1519,-0.6141,-0.0396,-0.3538,D
0.9737,0.8757,-0.6351,-0.0561,-0.853,D
-0.8229,-0.1983,-0.8166,-0.0756,-0.5857,U
0.073,0.6044,0.1494,0.4389,0.1558,D
-0.8825,-0.376,-0.9947,-0.5607,-0.1062,D
0.0078,0.8345,0.5357,0.5373,0.484,D
-0.1067,-0.8951,-0.8174,-0.5967,-0.3962,U
